Araracuara Airport,Araracuara,ACR
Achinsk Airport,Achinsk,ACS
Waco Regional Airport,Waco,ACT
Achutupo Airport,Achutupo,ACU
Arcata Airport,Arcata/Eureka,ACV
Xingyi Airport,Xingyi,ACX
Atlantic City International Airport,Atlantic City,ACY
Zabol Airport,,ACZ
Adana Airport,Adana,ADA
Adnan Menderes International Airport,Izmir,ADB
Andakombe Airport,Andekombe,ADC
Addis Ababa Bole International Airport,Addis Ababa,ADD
Aden International Airport,Aden,ADE
Adiyaman Airport,Adiyaman,ADF
Lenawee County Airport,Adrian,ADG
Aldan Airport,Aldan,ADH
Arandis Airport,Arandis,ADI
Amman-Marka International Airport,Amman,ADJ
Adak Airport,Adak Island,ADK
Adelaide International Airport,Adelaide,ADL
Ardmore Municipal Airport,Ardmore,ADM
Andes Airport,Andes,ADN
Andamooka Airport,,ADO
Ampara Airport,Ampara,ADP
Kodiak Airport,Kodiak,ADQ
Robert F Swinnie Airport,Andrews,ADR
Addison Airport,Dallas,ADS
Ada Regional Airport,Ada,ADT
Ardabil Airport,Ardabil,ADU
El Daein Airport,El Daein,ADV
Andrews Air Force Base,Camp Springs,ADW
RAF Leuchars,St. Andrews,ADX
Alldays Airport,Alldays,ADY
Gustavo Rojas Pinilla International Airport,San Andrés,ADZ
Abemama Atoll Airport,Abemama Atoll,AEA
Baise Youjiang Airport,Baise,AEB
Adareil Airport,,AEE
Aek Godang Airport,Padang Sidempuan-Sumatra Island,AEG
Abeche Airport,,AEH
Algeciras Heliport,Algeciras,AEI
Aseki Airport,Aseki,AEK
Albert Lea Municipal Airport,Albert Lea,AEL
Aioun el Atrouss Airport,Aioun El Atrouss,AEO
Jorge Newbery Airpark,Buenos Aires,AEP
Sochi International Airport,Sochi,AER
Ålesund Airport,Ålesund,AES
Allakaket Airport,Allakaket,AET
Abumusa Island Airport,,AEU
Alexandria International Airport,Alexandria,AEX
Akureyri Airport,Akureyri,AEY
Suboficial Ay Santiago Germano Airport,San Rafael,AFA
Port Alfred Airport,Port Alfred,AFD
USAF Academy Airfield,Colorado Springs,AFF
Amalfi Airport,Amalfi,AFI
Kondavattavana Tank Seaplane Base,Ampara,AFK
Piloto Osvaldo Marques Dias Airport,Alta Floresta,AFL
Jaffrey Airport Silver Ranch Airport,Jaffrey,AFN
Afton Municipal Airport,Afton,AFO
Afore Airstrip,,AFR
Sugraly Airport,Zarafshan,AFS
Afutara Aerodrome,Bila,AFT
Fort Worth Alliance Airport,Fort Worth,AFW
Afyon Airport,Afyonkarahisar,AFY
Sabzevar National Airport,Sabzevar,AFZ
Al Massira Airport,Agadir,AGA
Augsburg Airport,Augsburg,AGB
Allegheny County Airport,Pittsburgh,AGC
Anggi Airport,Anggi-Papua Island,AGD
Wangerooge Airport,Wangerooge,AGE
Agen-La Garenne Airport,Agen/La Garenne,AGF
Angoram Airport,Angoram,AGG
Ängelholm-Helsingborg Airport,Ängelholm,AGH
Wageningen Airstrip,Wageningen,AGI
Aguni Airport,Aguni,AGJ
Kagua Airport,Kagua,AGK
Wanigela Airport,,AGL
Tasiilaq Heliport,Tasiilaq,AGM
Angoon Seaplane Base,Angoon,AGN
Magnolia Municipal Airport,Magnolia,AGO
Málaga Airport,Málaga,AGP
Agrinion Air Base,Agrinion,AGQ
Agra Airport,,AGR
Augusta Regional At Bush Field,Augusta,AGS
Guarani International Airport,Ciudad del Este,AGT
Jesús Terán Paredo International Airport,Aguascalientes,AGU
Oswaldo Guevara Mujica Airport,Acarigua,AGV
Agnew Airport,Agnew,AGW
Agatti Airport,,AGX
Argyle Downs Airport,Argyle Downs,AGY
Aggeneys Airport,Aggeneys,AGZ
Abha Regional Airport,Abha,AHB
Amedee Army Air Field,Herlong,AHC
Ardmore Downtown Executive Airport,Ardmore,AHD
Ahe Airport,Ahe Atoll,AHE
Arapahoe Municipal Airport,Arapahoe,AHF
Amery Municipal Airport,Amery,AHH
Amahai Airport,Amahai-Seram Island,AHI
Hongyuan Airport,Aba,AHJ
Aishalton Airport,Aishalton,AHL
Ashland Municipal Sumner Parker Field,Ashland,AHM
Athens Ben Epps Airport,Athens,AHN
Alghero-Fertilia Airport,Alghero,AHO
Ahuas Airport,Ahuas,AHS
Amchitka Army Airfield,Amchitka Island,AHT
Amchitka Army Airfield,Amchitka Island,AHT
Cherif Al Idrissi Airport,Al Hoceima,AHU
Ambatolhy Airport,Ambatolahy,AHY
Altiport L'Alpe d'Huez - Henri GIRAUD,L'Alpe d'Huez,AHZ
Alliance Municipal Airport,Alliance,AIA
Ailinglaplap Airok Airport,Bigatyelang Island,AIC
Anderson Municipal Darlington Field,Anderson,AID
Aiome Airport,Aiome,AIE
Marcelo Pires Halzhausen Airport,Assis,AIF
Yalinga Airport,Yalinga,AIG
Aiambak Airport,Aiambak,AIH
Ali-Sabieh Airport,Ali-Sabieh,AII
Aiken Municipal Airport,Aiken,AIK
Alligandi Airport,Alligandi,AIL
Ailuk Airport,Ailuk Island,AIM
Wainwright Airport,Wainwright,AIN
Atlantic Municipal Airport,Atlantic,AIO
Aripuanã Airport,Aripuanã,AIR
Arorae Island Airport,Arorae Island,AIS
Aitutaki Airport,Aitutaki,AIT
Enua Airport,Atiu Island,AIU
George Downer Airport,Aliceville,AIV
Ai-Ais Airport,Ai-Ais,AIW
Atlantic City Municipal Bader Field,Atlantic City,AIY
Lee C Fine Memorial Airport,Kaiser Lake Ozark,AIZ
Ajaccio-Napoléon Bonaparte Airport,Ajaccio/Napoléon Bonaparte,AJA
Al-Jawf Domestic Airport,Al-Jawf,AJF
Agri Airport,,AJI
Akjoujt Airport,Akjoujt,AJJ
Arak Airport,Araak,AJK
Lengpui Airport,Aizawl,AJL
Ouani Airport,Ouani,AJN
Arvidsjaur Airport,Arvidsjaur,AJR
Abreojos Airport,Abreojos,AJS
Santa Maria Airport,Aracaju,AJU
Mano Dayak International Airport,Agadez,AJY
Ankang Wulipu Airport,Ankang,AKA
Atka Airport,Atka,AKB
Akron Fulton International Airport,Akron,AKC
Akola Airport,,AKD
Akieni Airport,Akieni,AKE
Kufra Airport,Kufra,AKF
Anguganak Airport,Anguganak,AKG
Prince Sultan Air Base,,AKH
Akiak Airport,Akiak,AKI
Asahikawa Airport,Asahikawa / Hokkaido,AKJ
Akhiok Airport,Akhiok,AKK
Auckland International Airport,Auckland,AKL
Zakuoma Airport,ZaKouma,AKM
King Salmon Airport,King Salmon,AKN
Colorado Plains Regional Airport,Akron,AKO
Anaktuvuk Pass Airport,Anaktuvuk Pass,AKP
Gunung Batin Airport,Astraksetra-Sumatra Island,AKQ
Akure Airport,Akure,AKR
Auki Airport,Auki,AKS
RAF Akrotiri,Akrotiri,AKT
Aksu Airport,Aksu,AKU
Akulivik Airport,Akulivik,AKV
Aghajari Airport,Aghajari,AKW
Aktobe Airport,Aktyuinsk,AKX
Sittwe Airport,Sittwe,AKY
Almaty Airport,Almaty,ALA
Albany International Airport,Albany,ALB
Alicante International Airport,Alicante,ALC
Alerta Airport,Fortaleza,ALD
Alpine Casparis Municipal Airport,Alpine,ALE
Alta Airport,Alta,ALF
Houari Boumediene Airport,Algiers,ALG
Albany Airport,Albany,ALH
Alice International Airport,Alice,ALI
Alexander Bay Airport,Alexander Bay,ALJ
Villanova D'Albenga International Airport,Albenga (SV),ALL
Alamogordo White Sands Regional Airport,Alamogordo,ALM
St Louis Regional Airport,Alton/St Louis,ALN
Waterloo Regional Airport,Waterloo,ALO
Aleppo International Airport,Aleppo,ALP
Alegrete Novo Airport,Alegrete,ALQ
Alexandra Airport,Alexandra,ALR
San Luis Valley Regional Bergman Field,Alamosa,ALS
Alenquer Airport,Alenquer,ALT
Alula Airport,Alula,ALU
Andorra la Vella Heliport,Andorra La Vella,ALV
Walla Walla Regional Airport,Walla Walla,ALW
Thomas C Russell Field,Alexander City,ALX
El Nouzha Airport,Alexandria,ALY
Alitak Seaplane Base,Lazy Bay,ALZ
Rick Husband Amarillo International Airport,Amarillo,AMA
Ambilobe Airport,,AMB
Am Timan Airport,Am Timan,AMC
Sardar Vallabhbhai Patel International Airport,Ahmedabad,AMD
Alto Molocue Airport,Alto Molocue,AME
Ama Airport,,AMF
Arba Minch Airport,,AMH
Selaparang Airport,Mataram-Lombok Island,AMI
Cirilo Queiróz Airport,Almenara,AMJ
Animas Air Park,Durango,AMK
Puerto Armuelles Airport,Puerto Armuelles,AML
Queen Alia International Airport,Amman,AMM
Gratiot Community Airport,Alma,AMN
Mao Airport,Mao,AMO
Ampanihy Airport,Ampanihy,AMP
Pattimura Airport, Ambon,Ambon,AMQ
Amsterdam Airport Schiphol,Amsterdam,AMS
Amata Airport,,AMT
Amanab Airport,Amanab,AMU
Amderma Airport,Amderma,AMV
Ames Municipal Airport,Ames,AMW
Ammaroo Airport,,AMX
Ambatomainty Airport,,AMY
Ardmore Airport,Manurewa,AMZ
Anniston Metropolitan Airport,Anniston,ANB
Ted Stevens Anchorage International Airport,Anchorage,ANC
Anderson Regional Airport,Anderson,AND
Angers-Loire Airport,Angers/Marcé,ANE
Cerro Moreno Airport,Antofagasta,ANF
Angoulême-Brie-Champniers Airport,Angoulême/Brie/Champniers,ANG
Anuha Island Resort Airport,Anhua Island,ANH
Aniak Airport,Aniak,ANI
Zanaga Airport,Zanaga,ANJ
Etimesgut Air Base,Ankara,ANK
Andulo Airport,,ANL
Antsirabato Airport,,ANM
Annette Island Airport,Annette,ANN
Angoche Airport,Angoche,ANO
Lee Airport,Annapolis,ANP
Tri State Steuben County Airport,Angola,ANQ
Antwerp International Airport (Deurne),Antwerp,ANR
Andahuaylas Airport,Andahuaylas,ANS
V.C. Bird International Airport,St. George,ANU
Anvik Airport,Anvik,ANV
Ainsworth Municipal Airport,Ainsworth,ANW
Andøya Airport,Andenes,ANX
Anthony Municipal Airport,Anthony,ANY
Angus Downs Airport,Angus Downs Station,ANZ
Aroa Airport,Agevairu,AOA
Annanberg Airport,,AOB
Altenburg-Nobitz Airport,Altenburg,AOC
Abou-Deïa Airport,Abou-Deïa,AOD
Anadolu Airport,Eskisehir,AOE
Anshan Air Base,Anshan,AOG
Lima Allen County Airport,Lima,AOH
Ancona Falconara Airport,Ancona,AOI
Aomori Airport,Aomori,AOJ
Karpathos Airport,Karpathos Island,AOK
Paso De Los Libres Airport,Paso de los Libres,AOL
Adam Airport,Adam,AOM
Altoona Blair County Airport,Altoona,AOO
Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,AOP
Sultan Abdul Halim Airport,Alor Satar,AOR
Amook Bay Seaplane Base,Amook Bay,AOS
Aosta Airport,Aosta,AOT
Attopeu Airport,Attopeu,AOU
Centennial Airport,Denver,APA
Apolo Airport,Apolo,APB
Napa County Airport,Napa,APC
San Juan Aposento Airport,San Juan Aposento,APE
Naples Municipal Airport,Naples,APF
Phillips Army Air Field,Aberdeen Proving Grounds(Aberdeen),APG
A P Hill AAF (Fort A P Hill) Airport,Fort A. P. Hill,APH
Gomez Nino Apiay Air Base,Apiay,API
Apataki Airport,Apataki,APK
Nampula Airport,Nampula,APL
Alpena County Regional Airport,Alpena,APN
Antonio Roldan Betancourt Airport,Carepa,APO
Asapa Airport,,APP
Arapiraca Airport,Arapiraca,APQ
April River Airport,April River,APR
Anápolis Airport,Anápolis,APS
Marion County Brown Field,Jasper,APT
Apucarana Airport,Apucarana,APU
Apple Valley Airport,Apple Valley,APV
Faleolo International Airport,Apia,APW
Arapongas Airport,Arapongas,APX
Alto Parnaíba Airport,Alto Parnaíba,APY
Zapala Airport,Zapala,APZ
Araraquara Airport,Araraquara,AQA
Santa Cruz del Quiche Airport,Santa Cruz del Quiche,AQB
Anqing Tianzhushan Airport,Anqing,AQG
Al Qaisumah/Hafr Al Batin Airport,Qaisumah,AQI
Aqaba King Hussein International Airport,Aqaba,AQJ
Nova Vida Airport,Ariquemes,AQM
Rodríguez Ballón International Airport,Arequipa,AQP
Zaffre,,AQQ
Biaugunu Airport,Saqani, Cakaudrove,AQS
Girdwood Airport,Girdwood,AQY
Acadiana Regional Airport,New Iberia,ARA
Ann Arbor Municipal Airport,Ann Arbor,ARB
Arctic Village Airport,Arctic Village,ARC
Mali Airport,Alor Island,ARD
Antonio Nery Juarbe Pol Airport,Arecibo,ARE
Acaricuara Airport,Acaricuara,ARF
Walnut Ridge Regional Airport,Walnut Ridge,ARG
Talagi Airport,Archangelsk,ARH
Chacalluta Airport,Arica,ARI
Arso Airport,Arso-Papua Island,ARJ
Arusha Airport,Arusha,ARK
Arly Airport,Arly,ARL
Armidale Airport,Armidale,ARM
Stockholm-Arlanda Airport,Stockholm,ARN
Arboletes Airport,Arboletes,ARO
Aragip Airport,,ARP
El Troncal Airport,Arauquita,ARQ
D. Casimiro Szlapelis Airport,Alto Rio Senguerr,ARR
Aragarças Airport,Aragarças,ARS
Watertown International Airport,Watertown,ART
Araçatuba Airport,Araçatuba,ARU
Lakeland-Noble F. Lee Memorial field,Minocqua-Woodruff,ARV
Arad International Airport,Arad,ARW
Asbury Park Neptune Air Terminal,Asbury Park,ARX
Ararat Airport,,ARY
N'zeto Airport,N'zeto,ARZ
Assab International Airport,Asab,ASA
Ashgabat Airport,Ashgabat,ASB
Ascención De Guarayos Airport,Ascensión de Guarayos,ASC
Andros Town Airport,,ASD
Aspen-Pitkin Co/Sardy Field,Aspen,ASE
Astrakhan Airport,Astrakhan,ASF
Ashburton Aerodrome,,ASG
Boire Field,Nashua,ASH
RAF Ascension Island,Ascension Island,ASI
Amami Airport,Amami,ASJ
Yamoussoukro Airport,Yamoussoukro,ASK
Harrison County Airport,Marshall,ASL
Asmara International Airport,Asmara,ASM
Talladega Municipal Airport,Talladega,ASN
Asosa Airport,Asosa,ASO
Alice Springs Airport,Alice Springs,ASP
Austin Airport,Austin,ASQ
Kayseri Erkilet Airport,Kayseri,ASR
Astoria Regional Airport,Astoria,AST
Silvio Pettirossi International Airport,Asunción,ASU
Amboseli Airport,Amboseli National Park,ASV
Aswan International Airport,Aswan,ASW
John F Kennedy Memorial Airport,Ashland,ASX
Ashley Municipal Airport,Ashley,ASY
Asirim Airport,,ASZ
Comandante FAP German Arias Graziani Airport,Anta,ATA
Atbara Airport,Atbara,ATB
Arthur's Town Airport,Arthur's Town,ATC
Uru Harbour Airport,Atoifi,ATD
Antlers Municipal Airport,Antlers,ATE
Chachoán Airport,Ambato,ATF
Minhas Air Base,Kamra,ATG
Eleftherios Venizelos International Airport,Athens,ATH
Artigas International Airport,Artigas,ATI
Antsirabe Airport,Antsirabe,ATJ
Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,ATK
Hartsfield Jackson Atlanta International Airport,Atlanta,ATL
Altamira Airport,Altamira,ATM
Namatanai Airport,Namatanai,ATN
Ohio University Snyder Field,Athens/Albany,ATO
Aitape Airport,Aitape,ATP
Sri Guru Ram Dass Jee International Airport,Amritsar,ATQ
Atar International Airport,Atar,ATR
Artesia Municipal Airport,Artesia,ATS
Atmautluak Airport,Atmautluak,ATT
Casco Cove Coast Guard Station,Attu,ATU
Ati Airport,Ati,ATV
Appleton International Airport,Appleton,ATW
Atbasar Airport,Atbasar,ATX
Watertown Regional Airport,Watertown,ATY
Assiut International Airport,Assiut,ATZ
Queen Beatrix International Airport,Oranjestad,AUA
Santiago Perez Airport,Arauca,AUC
Augustus Downs Airport,,AUD
Abu Rudeis Airport,Abu Rudeis,AUE
Auxerre-Branches Airport,Auxerre/Branches,AUF
Augusta State Airport,Augusta,AUG
Abu Dhabi International Airport,Abu Dhabi,AUH
Aua Island Airport,Aua Island,AUI
Ambunti Airport,Ambunti,AUJ
Alakanuk Airport,Alakanuk,AUK
Aur Island Airport,Aur Atoll,AUL
Austin Municipal Airport,Austin,AUM
Auburn Municipal Airport,Auburn,AUN
Auburn Opelika Robert G. Pitts Airport,Auburn,AUO
Agaun Airport,,AUP
Hiva Oa-Atuona Airport,Hiva Oa Island,AUQ
Aurillac Airport,Aurillac,AUR
Austin Robert Mueller Municipal,,AUS
Austin Bergstrom International Airport,Austin,AUS
Atauro Airport,Atauro,AUT
Aurukun Airport,Aurukun,AUU
Aumo Airport,Aumo,AUV
Wausau Downtown Airport,Wausau,AUW
Araguaína Airport,Araguaína,AUX
Aneityum Airport,Anatom Island,AUY
Aurora Municipal Airport,Chicago/Aurora,AUZ
Anshun Huangguoshu Airport,Anshun,AVA
Aviano Air Base,Aviano (PN),AVB
Auvergne Airport,,AVG
Maximo Gomez Airport,Ciego de Avila,AVI
Arvaikheer Airport,Arvaikheer,AVK
Asheville Regional Airport,Asheville,AVL
Avignon-Caumont Airport,Avignon/Caumont,AVN
Avon Park Executive Airport,Avon Park,AVO
Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,AVP
Alverca Airport,Vila Franca de Xira,AVR
Avu Avu Airport,,AVU
Avalon Airport,Melbourne,AVV
Marana Regional Airport,Tucson,AVW
Catalina Airport,Avalon,AVX
Awassa Airport,Awassa,AWA
Awaba Airport,Awaba,AWB
Aniwa Airport,Aniwa,AWD
Alowe Airport,Wonga Wongué Presidential Reserve,AWE
Wake Island Airfield,Wake Island,AWK
West Memphis Municipal Airport,West Memphis,AWM
Alton Downs Airport,,AWN
Austral Downs Airport,,AWP
Awar Airport,Awar,AWR
Ahwaz Airport,Ahwaz,AWZ
Wallblake Airport,The Valley,AXA
Maxson Airfield,Alexandria Bay,AXB
Aramac Airport,,AXC
Dimokritos Airport,Alexandroupolis,AXD
Xanxerê Airport,Xanxerê,AXE
Alxa Left Banner-Bayanhot Airport,Bayanhot,AXF
Algona Municipal Airport,Algona,AXG
Amakusa Airport,,AXJ
Ataq Airport,,AXK
Alexandria Homestead Airport,,AXL
El Eden Airport,Armenia,AXM
Chandler Field,Alexandria,AXN
Spring Point Airport,Spring Point,AXP
Arutua Airport,,AXR
Altus Quartz Mountain Regional Airport,Altus,AXS
Akita Airport,Akita,AXT
Axum Airport,,AXU
Neil Armstrong Airport,Wapakoneta,AXV
Angel Fire Airport,Angel Fire,AXX
Ayapel Airport,Ayapel,AYA
Ayacucho Airport,Ayacucho,AYC
Alroy Downs Airport,Alroy Downs,AYD
Ft Devens Moore Army Air Field,,AYE
Yaguara Airport,San Vicente Del Caguán,AYG
RAF Alconbury,Huntingdon,AYH
Yari Airport,Yari,AYI
Arkalyk North Airport,Arkalyk,AYK
Anthony Lagoon Airport,,AYL
Yas Island Seaplane Base,Abu Dhabi,AYM
Anyang Airport,Anyang,AYN
Juan De Ayolas Airport,Ayolas,AYO
Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,AYP
Ayers Rock Connellan Airport,Ayers Rock,AYQ
Ayr Airport,,AYR
Waycross Ware County Airport,Waycross,AYS
Antalya International Airport,Antalya,AYT
Aiyura Airport,Aiyura Valley,AYU
Ayawasi Airport,Ayawasi-Papua Island,AYW
Arugam Bay SPB,Pottuvil,AYY
Zahn's Airport,Amityville,AYZ
Phoenix-Mesa-Gateway Airport,Phoenix,AZA
Amazon Bay Airport,,AZB
Shahid Sadooghi Airport,Yazd,AZD
Pablo L. Sidar Airport,Apatzingán,AZG
Bateen Airport,,AZI
Fazenda Tucunaré Airport,Sapezal,AZL
Andizhan Airport,Andizhan,AZN
Kalamazoo Battle Creek International Airport,Kalamazoo,AZO
Atizapan De Zaragoza Airport,,AZP
Touat Cheikh Sidi Mohamed Belkebir Airport,,AZR
Samaná El Catey International Airport,Samana,AZS
Zapatoca Airport,Zapatoca,AZT
Ambriz Airport,Ambriz,AZZ
Bialla Airport,Bialla, Matalilu, Ewase,BAA
Beale Air Force Base,Marysville,BAB
Barranca De Upia Airport,Barranca De Upia,BAC
Barksdale Air Force Base,Bossier City,BAD
Barcelonnette - Saint-Pons Airport,Le Castellet,BAE
Westfield-Barnes Regional Airport,Westfield/Springfield,BAF
Loakan Airport,Baguio City,BAG
Bahrain International Airport,Manama,BAH
Buenos Aires Airport,Punta Arenas,BAI
Bali Airport,Unea Island,BAJ
Batman Airport,Batman,BAL
Battle Mountain Airport,Battle Mountain,BAM
Basongo Airport,Basongo,BAN
Udorn Air Base,Ban Mak Khaen,BAO
Baibara Airport,Nabai,BAP
Ernesto Cortissoz International Airport,Barranquilla,BAQ
Qionghai Bo'ao Airport,Qionghai,BAR
Ballalae Airport,Ballalae,BAS
Chafei Amsei Airport,Barretos,BAT
Bauru Airport,Bauru,BAU
Baotou Airport,Baotou,BAV
Barnaul Airport,Barnaul,BAX
Tautii Magheraus Airport,Baia Mare,BAY
Barcelos Airport,Barcelos,BAZ
Balmaceda Airport,Balmaceda,BBA
Benson Municipal Airport,Benson,BBB
Bay City Municipal Airport,Bay City,BBC
Curtis Field,Brady,BBD
Big Bell Airport,Big Bell,BBE
Butaritari Atoll Airport,Butaritari Atoll,BBG
Barth Airport,,BBH
Biju Patnaik Airport,Bhubaneswar,BBI
Bitburg Airport,Bitburg,BBJ
Kasane Airport,Kasane,BBK
Ballera Airport,,BBL
Battambang Airport,Battambang,BBM
Bario Airport,Bario,BBN
Berbera Airport,Berbera,BBO
Bembridge Airport,Bembridge,BBP
Codrington Airport,Codrington,BBQ
Baillif Airport,Basse Terre,BBR
Blackbushe Airport,Yateley,BBS
Berbérati Airport,Berbérati,BBT
Baneasa International Airport,Bucharest,BBU
Nero-Mer Airport,Grand-Béréby,BBV
Broken Bow Municipal Airport,Broken Bow,BBW
Wings Field,Philadelphia,BBX
Bambari Airport,Bambari,BBY
Zambezi Airport,Zambezi,BBZ
Gustavo Rizo Airport,Baracoa,BCA
Virginia Tech Montgomery Executive Airport,Blacksburg,BCB
Bear Creek 3 Airport,Bear Creek,BCC
Bacolod-Silay City International Airport,Bacolod City,BCD
Bryce Canyon Airport,Bryce Canyon,BCE
Bouca Airport,Bouca,BCF
Bemichi Airport,Bemichi,BCG
Cakung Airport,Baucau,BCH
Barcaldine Airport,Barcaldine,BCI
Baca Grande Airfield,Crestone,BCJ
[Duplicate] Bolwarra Airport,Bolwarra,BCK
Bolwarra Airport,,BCK
Barra del Colorado Airport,Pococi,BCL
Bacau Airport,Bacau,BCM
Barcelona International Airport,Barcelona,BCN
Baco Airport,Baco,BCO
Bambu Airport,Bambu,BCP
Brak Airport,Brak,BCQ
Novo Campo Airport,Boca do Acre,BCR
Southern Seaplane Airport,Belle Chasse,BCS
Boca Raton Airport,Boca Raton,BCT
Sir Abubakar Tafawa Balewa International Airport,Bauchi,BCU
Belmopan Airport,Belmopan,BCV
Benguera Island Airport,Benguera Island,BCW
Beloretsk Airport,Beloretsk,BCX
Milyakburra Airport,Bickerton Island,BCZ
L.F. Wade International International Airport,Hamilton,BDA
Bundaberg Airport,Bundaberg,BDB
Barra do Corda Airport,Barra Do Corda,BDC
Badu Island Airport,,BDD
Baudette International Airport,Baudette,BDE
Rinkenberger Restricted Landing Area,Bradford,BDF
Blanding Municipal Airport,Blanding,BDG
Bandar Lengeh Airport,Bandar Lengeh,BDH
Bird Island Airport,Bird Island,BDI
Syamsudin Noor Airport,Banjarmasin-Borneo Island,BDJ
Soko Airport,Bondoukou,BDK
Bradley International Airport,Hartford,BDL
Bandirma Airport,,BDM
Talhar Airport,Badin,BDN
Husein Sastranegara International Airport,Bandung-Java Island,BDO
Bhadrapur Airport,Bhadrapur,BDP
Vadodara Airport,Vadodara,BDQ
Igor I Sikorsky Memorial Airport,Bridgeport,BDR
Brindisi – Salento Airport,Brindisi,BDS
Gbadolite Airport,,BDT
Bardufoss Airport,Målselv,BDU
Moba Airport,Moba,BDV
Bedford Downs Airport,,BDW
Broadus Airport,Broadus,BDX
Bandon State Airport,Bandon,BDY
Baindoung Airport,,BDZ
Bereina Airport,Bereina Mission,BEA
Benbecula Airport,Balivanich,BEB
Beech Factory Airport,Wichita,BEC
Laurence G Hanscom Field,Bedford,BED
Beagle Bay Airport,Beagle Bay,BEE
Bluefields Airport,Bluefileds,BEF
Belgrade Nikola Tesla Airport,Belgrade,BEG
Southwest Michigan Regional Airport,Benton Harbor,BEH
Beica Airport,Beica,BEI
Barau(Kalimaru) Airport,Tanjung Redep-Borneo Island,BEJ
Bareilly Air Force Station,Bareilly,BEK
Val de Cans/Júlio Cezar Ribeiro International Airport,Belém,BEL
Bossembélé Airport,Bossembélé,BEM
Benina International Airport,Benghazi,BEN
Lake Macquarie Airport,,BEO
Bellary Airport,Bellary,BEP
RAF Honington,Thetford,BEQ
Berlin Brandenburg Airport,Berlin,BER
Brest Bretagne Airport,Brest/Guipavas,BES
Bethel Airport,Bethel,BET
Bedourie Airport,,BEU
Beersheba (Teyman) Airport,Beersheba,BEV
Beira Airport,Beira,BEW
RAF Benson,Benson,BEX
Beirut Rafic Hariri International Airport,Beirut,BEY
Beru Airport,Beru,BEZ
Bahía Negra Airport,Bahía Negra,BFA
[Duplicate] Bloomfield Airport,Bloomfield,BFC
Bloomfield River Airport,,BFC
Bradford Regional Airport,Bradford,BFD
Bielefeld Airport,Bielefeld,BFE
Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,BFF
Bullfrog Basin Airport,Glen Canyon Natl Rec Area,BFG
Bacacheri Airport,Curitiba,BFH
Boeing Field King County International Airport,Seattle,BFI
Ba Airport,,BFJ
